1800,1090,53,53,5
1323,1014,53,53,5
1923,1040,53,53,5
2424,1214,53,53,5
2974,1040,53,53,5
3674,1614,53,53,5
3523,240,53,53,5
624,315,53,53,5
1424,1715,53,53,5
1923,1715,53,53,5
24,515,53,53,5
2776,1491,53,53,5
2575,1715,53,53,5
1824,1389,53,53,5
1624,1066,53,53,5
1176,1613,53,53,5
3624,291,53,53,5
3922,317,53,53,5
3523,1240,53,53,5
176,1291,53,53,5
576,1290,53,53,5
2624,1040,53,53,6
253,703,53,53,6
640,713,53,53,6
1040,624,53,53,6
1337,597,53,53,6
1722,602,53,53,6
2107,599,53,53,6
2486,610,53,53,6
2877,615,53,53,6
3149,517,53,53,6
3149,717,53,53,6
3323,814,53,53,6
3149,916,53,53,6
3149,1115,53,53,6
3149,1515,53,53,6
576,1915,53,53,6
576,1515,53,53,6
677,1515,53,53,6
29,1566,53,53,6
-23,802,53,53,6
3835,624,53,53,6
776,1115,53,53,6
477,1014,53,53,6
2877,615,53,53,6
2800,1350,200,27,7
800,90,100,350,8
1100,90,100,350,8
1400,90,100,350,8
2100,90,100,350,8
2750,90,100,350,8
3400,90,100,350,8
2350,1810,200,97,4
3550,1810,200,97,4
800,40,400,45,7
1400,40,2050,45,9
3325,1390,50,450,10
2575,1190,50,350,10
2075,1190,50,350,10
1075,1190,50,650,10
0,440,4000,20,0
0,0,50,440,12
1200,90,50,150,12
1350,90,50,150,12
3700,40,100,250,12
0,1090,50,400,12
50,1440,600,30,0
650,1090,50,400,12
100,1590,50,300,0
150,1840,200,50,0
1000,890,2100,50,0
949,891,51,299,12
3050,940,50,700,12
2650,1190,200,100,0
2949,1190,101,100,0
1550,1190,501,100,0
2149,1190,200,100,0
949,1189,102,50,0
1149,1190,150,48,0
1250,1240,50,350,12
1250,1540,1450,100,0
2651,1292,48,250,12
949,1240,51,650,12
999,1840,1349,48,0
2547,1840,302,52,0
2949,1840,602,49,0
3000,1640,300,52,0
2750,1290,50,50,0
3000,1290,50,50,0
2698,1293,52,97,0
3750,1840,200,50,0
3949,1491,50,400,0
3250,937,50,705,12
3650,940,100,300,12
750,90,51,349,11,0
4000,0,50,1984,12
1650,1290,49,250,11,1
2200,1290,49,250,11,1
1250,1640,49,200,11,1
1750,1640,49,200,11,2
2200,1640,49,200,11,2
2650,1640,49,200,11,2
